timestamp,expiration,strike,call_put,gex,vanna_or_vex,charm,delta_exposure,gamma_gradient,vanna_gradient,charm_gradient,delta_change,net_gex,call_gex,put_gex,net_vanna,net_charm,net_delta_exposure,zero_gamma,gamma_flip,underlying_price,contract_multiplier,perspective,gex_unit,source
2026-08-18T12:25:00-04:00,2026-08-19,585.0,put,0.0,0.0,,0.0,,,,,28169385.0,108825349.0,-80655964.0,120977932.0,,25194934766.0,,,941.23,100.0,unknown,PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-18T12:25:00-04:00,2026-08-19,590.0,call,0.0,0.0,,470180.0,,,,,28169385.0,108825349.0,-80655964.0,120977932.0,,25194934766.0,,,941.23,100.0,unknown,PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-18T12:25:00-04:00,2026-08-19,590.0,put,0.0,0.0,,0.0,,,,,28169385.0,108825349.0,-80655964.0,120977932.0,,25194934766.0,,,941.23,100.0,unknown,PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-18T12:25:00-04:00,2026-08-19,595.0,call,0.0,0.0,,94184.0,,,,,28169385.0,108825349.0,-80655964.0,120977932.0,,25194934766.0,,,941.23,100.0,unknown,PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-18T12:25:00-04:00,2026-08-19,595.0,put,0.0,0.0,,0.0,,,,,28169385.0,108825349.0,-80655964.0,120977932.0,,25194934766.0,,,941.23,100.0,unknown,PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-18T12:25:00-04:00,2026-08-19,600.0,call,0.0,0.0,,0.0,,,,,28169385.0,108825349.0,-80655964.0,120977932.0,,25194934766.0,,,941.23,100.0,unknown,PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-18T12:25:00-04:00,2026-08-19,600.0,put,0.0,0.0,,0.0,,,,,28169385.0,108825349.0,-80655964.0,120977932.0,,25194934766.0,,,941.23,100.0,unknown,PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-18T12:25:00-04:00,2026-08-19,605.0,call,131.0,-103.0,,358500.0,,,,,28169385.0,108825349.0,-80655964.0,120977932.0,,25194934766.0,,,941.23,100.0,unknown,PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-18T12:25:00-04:00,2026-08-19,605.0,put,0.0,0.0,,0.0,,,,,28169385.0,108825349.0,-80655964.0,120977932.0,,25194934766.0,,,941.23,100.0,unknown,PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-18T12:25:00-04:00,2026-08-19,610.0,call,101.0,-79.0,,268657.0,,,,,28169385.0,108825349.0,-80655964.0,120977932.0,,25194934766.0,,,941.23,100.0,unknown,PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
