timestamp,expiration,strike,call_put,gex,vanna_or_vex,charm,delta_exposure,gamma_gradient,vanna_gradient,charm_gradient,delta_change,net_gex,call_gex,put_gex,net_vanna,net_charm,net_delta_exposure,zero_gamma,gamma_flip,underlying_price,contract_multiplier,perspective,gex_unit,source
2026-08-19T16:00:00-04:00,2026-08-21,115.0,put,-4972.0,-2218.0,,-55579.0,,,,,908198.0,35707423.0,-34799225.0,15734177.0,,739636166.0,,,206.39,100.0,unknown,QuantData PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-19T16:00:00-04:00,2026-08-21,120.0,call,0.0,0.0,,0.0,,,,,908198.0,35707423.0,-34799225.0,15734177.0,,739636166.0,,,206.39,100.0,unknown,QuantData PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-19T16:00:00-04:00,2026-08-21,120.0,put,-7685.0,-3210.0,,-89453.0,,,,,908198.0,35707423.0,-34799225.0,15734177.0,,739636166.0,,,206.39,100.0,unknown,QuantData PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-19T16:00:00-04:00,2026-08-21,125.0,call,0.0,0.0,,0.0,,,,,908198.0,35707423.0,-34799225.0,15734177.0,,739636166.0,,,206.39,100.0,unknown,QuantData PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-19T16:00:00-04:00,2026-08-21,125.0,put,-2629.0,-1190.0,,-25615.0,,,,,908198.0,35707423.0,-34799225.0,15734177.0,,739636166.0,,,206.39,100.0,unknown,QuantData PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-19T16:00:00-04:00,2026-08-21,130.0,call,3114.0,-1002.0,,4263220.0,,,,,908198.0,35707423.0,-34799225.0,15734177.0,,739636166.0,,,206.39,100.0,unknown,QuantData PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-19T16:00:00-04:00,2026-08-21,130.0,put,-99481.0,-44337.0,,-920892.0,,,,,908198.0,35707423.0,-34799225.0,15734177.0,,739636166.0,,,206.39,100.0,unknown,QuantData PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-19T16:00:00-04:00,2026-08-21,135.0,call,0.0,0.0,,0.0,,,,,908198.0,35707423.0,-34799225.0,15734177.0,,739636166.0,,,206.39,100.0,unknown,QuantData PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-19T16:00:00-04:00,2026-08-21,135.0,put,-4794.0,-2149.0,,-40378.0,,,,,908198.0,35707423.0,-34799225.0,15734177.0,,739636166.0,,,206.39,100.0,unknown,QuantData PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-19T16:00:00-04:00,2026-08-21,140.0,call,0.0,0.0,,0.0,,,,,908198.0,35707423.0,-34799225.0,15734177.0,,739636166.0,,,206.39,100.0,unknown,QuantData PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-19T16:00:00-04:00,2026-08-21,140.0,put,-59790.0,-21857.0,,-669445.0,,,,,908198.0,35707423.0,-34799225.0,15734177.0,,739636166.0,,,206.39,100.0,unknown,QuantData PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-19T16:00:00-04:00,2026-08-21,145.0,call,0.0,0.0,,0.0,,,,,908198.0,35707423.0,-34799225.0,15734177.0,,739636166.0,,,206.39,100.0,unknown,QuantData PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-19T16:00:00-04:00,2026-08-21,145.0,put,-41938.0,-15224.0,,-433393.0,,,,,908198.0,35707423.0,-34799225.0,15734177.0,,739636166.0,,,206.39,100.0,unknown,QuantData PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-19T16:00:00-04:00,2026-08-21,150.0,call,4717.0,-1840.0,,9600893.0,,,,,908198.0,35707423.0,-34799225.0,15734177.0,,739636166.0,,,206.39,100.0,unknown,QuantData PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-19T16:00:00-04:00,2026-08-21,150.0,put,-23667.0,-9310.0,,-198654.0,,,,,908198.0,35707423.0,-34799225.0,15734177.0,,739636166.0,,,206.39,100.0,unknown,QuantData PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-19T16:00:00-04:00,2026-08-21,155.0,call,0.0,0.0,,0.0,,,,,908198.0,35707423.0,-34799225.0,15734177.0,,739636166.0,,,206.39,100.0,unknown,QuantData PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-19T16:00:00-04:00,2026-08-21,155.0,put,-43389.0,-14052.0,,-441891.0,,,,,908198.0,35707423.0,-34799225.0,15734177.0,,739636166.0,,,206.39,100.0,unknown,QuantData PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
