timestamp,expiration,strike,call_put,gex,vanna_or_vex,charm,delta_exposure,gamma_gradient,vanna_gradient,charm_gradient,delta_change,net_gex,call_gex,put_gex,net_vanna,net_charm,net_delta_exposure,zero_gamma,gamma_flip,underlying_price,contract_multiplier,perspective,gex_unit,source
2026-08-17T14:40:00-04:00,2026-08-21,600.0,put,-217.0,-1325.0,,-34585.0,,,,,9783652.0,23938268.0,-14154616.0,18434996.0,,21739690895.0,,,1785.46,100.0,unknown,QuantData PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-17T14:40:00-04:00,2026-08-21,620.0,call,0.0,0.0,,2092488.0,,,,,9783652.0,23938268.0,-14154616.0,18434996.0,,21739690895.0,,,1785.46,100.0,unknown,QuantData PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-17T14:40:00-04:00,2026-08-21,620.0,put,-30.0,-205.0,,-3972.0,,,,,9783652.0,23938268.0,-14154616.0,18434996.0,,21739690895.0,,,1785.46,100.0,unknown,QuantData PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-17T14:40:00-04:00,2026-08-21,630.0,call,0.0,0.0,,0.0,,,,,9783652.0,23938268.0,-14154616.0,18434996.0,,21739690895.0,,,1785.46,100.0,unknown,QuantData PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-17T14:40:00-04:00,2026-08-21,630.0,put,-24.0,-148.0,,-3900.0,,,,,9783652.0,23938268.0,-14154616.0,18434996.0,,21739690895.0,,,1785.46,100.0,unknown,QuantData PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-17T14:40:00-04:00,2026-08-21,650.0,call,0.0,0.0,,0.0,,,,,9783652.0,23938268.0,-14154616.0,18434996.0,,21739690895.0,,,1785.46,100.0,unknown,QuantData PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-17T14:40:00-04:00,2026-08-21,650.0,put,-90.0,-555.0,,-12858.0,,,,,9783652.0,23938268.0,-14154616.0,18434996.0,,21739690895.0,,,1785.46,100.0,unknown,QuantData PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-17T14:40:00-04:00,2026-08-21,660.0,call,0.0,0.0,,0.0,,,,,9783652.0,23938268.0,-14154616.0,18434996.0,,21739690895.0,,,1785.46,100.0,unknown,QuantData PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-17T14:40:00-04:00,2026-08-21,660.0,put,-71.0,-430.0,,-10876.0,,,,,9783652.0,23938268.0,-14154616.0,18434996.0,,21739690895.0,,,1785.46,100.0,unknown,QuantData PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-17T14:40:00-04:00,2026-08-21,690.0,call,0.0,0.0,,0.0,,,,,9783652.0,23938268.0,-14154616.0,18434996.0,,21739690895.0,,,1785.46,100.0,unknown,QuantData PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-17T14:40:00-04:00,2026-08-21,690.0,put,-246.0,-1428.0,,-33256.0,,,,,9783652.0,23938268.0,-14154616.0,18434996.0,,21739690895.0,,,1785.46,100.0,unknown,QuantData PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-17T14:40:00-04:00,2026-08-21,700.0,call,0.0,0.0,,0.0,,,,,9783652.0,23938268.0,-14154616.0,18434996.0,,21739690895.0,,,1785.46,100.0,unknown,QuantData PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-17T14:40:00-04:00,2026-08-21,700.0,put,-646.0,-3990.0,,-85994.0,,,,,9783652.0,23938268.0,-14154616.0,18434996.0,,21739690895.0,,,1785.46,100.0,unknown,QuantData PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-17T14:40:00-04:00,2026-08-21,710.0,call,0.0,0.0,,0.0,,,,,9783652.0,23938268.0,-14154616.0,18434996.0,,21739690895.0,,,1785.46,100.0,unknown,QuantData PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-17T14:40:00-04:00,2026-08-21,710.0,put,-128.0,-769.0,,-17812.0,,,,,9783652.0,23938268.0,-14154616.0,18434996.0,,21739690895.0,,,1785.46,100.0,unknown,QuantData PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-17T14:40:00-04:00,2026-08-21,750.0,call,0.0,0.0,,0.0,,,,,9783652.0,23938268.0,-14154616.0,18434996.0,,21739690895.0,,,1785.46,100.0,unknown,QuantData PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-17T14:40:00-04:00,2026-08-21,750.0,put,-483.0,-2877.0,,-64234.0,,,,,9783652.0,23938268.0,-14154616.0,18434996.0,,21739690895.0,,,1785.46,100.0,unknown,QuantData PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-17T14:40:00-04:00,2026-08-21,790.0,call,0.0,0.0,,0.0,,,,,9783652.0,23938268.0,-14154616.0,18434996.0,,21739690895.0,,,1785.46,100.0,unknown,QuantData PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-17T14:40:00-04:00,2026-08-21,790.0,put,-198.0,-1171.0,,-24991.0,,,,,9783652.0,23938268.0,-14154616.0,18434996.0,,21739690895.0,,,1785.46,100.0,unknown,QuantData PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-17T14:40:00-04:00,2026-08-21,800.0,call,0.0,0.0,,0.0,,,,,9783652.0,23938268.0,-14154616.0,18434996.0,,21739690895.0,,,1785.46,100.0,unknown,QuantData PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
