timestamp,option_symbol,underlying,expiration,dte,strike,call_put,trade_price,bid,ask,trade_size,premium,volume,open_interest,underlying_price,iv,delta,exchange,trade_condition,sweep,block,multi_leg,aggressor_side,opening_closing_inference,moneyness,source
2026-08-17T10:30:47.876000-04:00,,LITE,2026-08-21,4.270277777777777,1070.0,call,8.0,6.6,8.6,200,160000.0,252,215,959.75,95.70121765136719,0.1602002958775905,MEMX,AUTO,false,false,false,ask,unknown,OUT_OF_THE_MONEY,QuantData order-flow/consolidated (latest page only)
2026-08-17T10:30:58.925000-04:00,,LITE,2027-03-19,214.27015046296296,1000.0,call,240.97,234.0,244.9,10,240978.0,16,49,962.2,84.54322814941406,0.6216802441648065,MULTIPLE,TIED_MULTI_AUTO_COB,true,false,true,ask,unknown,OUT_OF_THE_MONEY,QuantData order-flow/consolidated (latest page only)
2026-08-17T10:31:02.761000-04:00,,LITE,2027-03-19,214.27010416666667,1000.0,call,241.01,234.0,245.7,13,313315.0,29,49,961.56,84.63859558105469,0.6212898118458903,MULTIPLE,TIED_MULTI_AUTO_COB,true,false,true,ask,unknown,OUT_OF_THE_MONEY,QuantData order-flow/consolidated (latest page only)
2026-08-17T10:31:03.617000-04:00,,LITE,2027-01-15,151.31175925925925,890.0,call,243.5,239.3,243.5,12,292200.0,34,560,961.56,84.06639099121094,0.6742694957295771,PERL,AUTO,false,true,false,ask,unknown,IN_THE_MONEY,QuantData order-flow/consolidated (latest page only)
2026-08-17T10:31:11.747000-04:00,,LITE,2027-03-19,214.26999999999998,1000.0,call,239.86,234.1,243.7,11,263856.0,65,49,960.91,84.35249328613281,0.6206008549014783,MULTIPLE,TIED_MULTI_AUTO_COB,true,false,true,ask,unknown,OUT_OF_THE_MONEY,QuantData order-flow/consolidated (latest page only)
2026-08-17T10:31:13.826000-04:00,,LITE,2027-03-19,214.26997685185185,1000.0,call,241.45,236.3,243.0,24,579490.0,101,49,960.91,84.92469787597656,0.6214764787513534,MULTIPLE,AUTO,true,false,false,ask,unknown,OUT_OF_THE_MONEY,QuantData order-flow/consolidated (latest page only)
2026-08-17T10:31:13.828000-04:00,,LITE,2027-03-19,214.26997685185185,1000.0,call,240.01,236.3,243.0,12,288020.0,95,49,960.91,84.44786071777344,0.6206008460540593,MULTIPLE,TIED_MULTI_AUTO_COB,true,false,true,ask,unknown,OUT_OF_THE_MONEY,QuantData order-flow/consolidated (latest page only)
2026-08-17T10:32:18.623000-04:00,,LITE,2026-09-18,32.26922453703704,1000.0,call,82.0,78.3,82.0,100,820000.0,120,500,962.59,84.25712585449219,0.49623840102691696,MEMX,AUTO,false,true,false,ask,unknown,OUT_OF_THE_MONEY,QuantData order-flow/consolidated (latest page only)
2026-08-17T10:34:36.926000-04:00,,LITE,2026-08-21,4.267627314814814,960.0,call,44.78,41.4,44.8,50,223900.0,162,507,967.7,97.51319885253906,0.553305369534423,MULTIPLE,AUTO,true,false,false,ask,unknown,IN_THE_MONEY,QuantData order-flow/consolidated (latest page only)
2026-08-17T10:38:55.222000-04:00,,LITE,2026-08-21,4.2646296296296295,1180.0,call,1.64,1.35,1.65,167,27539.0,226,65,969.44,100.46958923339844,0.03996688183471872,MULTIPLE,AUCT,true,false,false,ask,opening,OUT_OF_THE_MONEY,QuantData order-flow/consolidated (latest page only)
