timestamp,expiration,strike,call_put,gex,vanna_or_vex,charm,delta_exposure,gamma_gradient,vanna_gradient,charm_gradient,delta_change,net_gex,call_gex,put_gex,net_vanna,net_charm,net_delta_exposure,zero_gamma,gamma_flip,underlying_price,contract_multiplier,perspective,gex_unit,source
2026-08-17T16:00:00-04:00,2026-08-21,500.0,put,-734.0,-2274.0,,-47200.0,,,,,4047529.0,9502620.0,-5455091.0,-2303749.0,,2581076271.0,,,968.46,100.0,unknown,QuantData PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-17T16:00:00-04:00,2026-08-21,520.0,call,0.0,0.0,,0.0,,,,,4047529.0,9502620.0,-5455091.0,-2303749.0,,2581076271.0,,,968.46,100.0,unknown,QuantData PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-17T16:00:00-04:00,2026-08-21,520.0,put,-188.0,-583.0,,-10941.0,,,,,4047529.0,9502620.0,-5455091.0,-2303749.0,,2581076271.0,,,968.46,100.0,unknown,QuantData PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-17T16:00:00-04:00,2026-08-21,530.0,call,0.0,0.0,,0.0,,,,,4047529.0,9502620.0,-5455091.0,-2303749.0,,2581076271.0,,,968.46,100.0,unknown,QuantData PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-17T16:00:00-04:00,2026-08-21,530.0,put,-323.0,-1004.0,,-18956.0,,,,,4047529.0,9502620.0,-5455091.0,-2303749.0,,2581076271.0,,,968.46,100.0,unknown,QuantData PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-17T16:00:00-04:00,2026-08-21,550.0,call,0.0,0.0,,0.0,,,,,4047529.0,9502620.0,-5455091.0,-2303749.0,,2581076271.0,,,968.46,100.0,unknown,QuantData PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-17T16:00:00-04:00,2026-08-21,550.0,put,-761.0,-2383.0,,-38276.0,,,,,4047529.0,9502620.0,-5455091.0,-2303749.0,,2581076271.0,,,968.46,100.0,unknown,QuantData PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-17T16:00:00-04:00,2026-08-21,560.0,call,272.0,-613.0,,2726204.0,,,,,4047529.0,9502620.0,-5455091.0,-2303749.0,,2581076271.0,,,968.46,100.0,unknown,QuantData PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-17T16:00:00-04:00,2026-08-21,560.0,put,0.0,0.0,,0.0,,,,,4047529.0,9502620.0,-5455091.0,-2303749.0,,2581076271.0,,,968.46,100.0,unknown,QuantData PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-17T16:00:00-04:00,2026-08-21,570.0,call,0.0,0.0,,0.0,,,,,4047529.0,9502620.0,-5455091.0,-2303749.0,,2581076271.0,,,968.46,100.0,unknown,QuantData PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-17T16:00:00-04:00,2026-08-21,570.0,put,-615.0,-1856.0,,-30622.0,,,,,4047529.0,9502620.0,-5455091.0,-2303749.0,,2581076271.0,,,968.46,100.0,unknown,QuantData PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-17T16:00:00-04:00,2026-08-21,600.0,call,0.0,0.0,,2470075.0,,,,,4047529.0,9502620.0,-5455091.0,-2303749.0,,2581076271.0,,,968.46,100.0,unknown,QuantData PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
