timestamp,expiration,dte,strike,call_put,delta,iv,underlying_price,coordinate_type,atm_iv,10_delta_put_iv,25_delta_put_iv,25_delta_call_iv,10_delta_call_iv,rr25,bf25,call_skew,put_skew,wing_skew,front_iv,back_iv,term_slope,realized_vol,iv_minus_rv,stickiness,source
2026-08-18T12:30:00-04:00,2026-08-21,3,280.0,put,-0.00019179702108988348,573.3966827392578,1623.68,fixed_strike,97.56088256835938,98.84834289550781,97.13172912597656,101.32789611816406,105.14259338378906,4.1961669921875,1.6689300537109375,,,,97.56088256835938,86.30752563476562,-11.25335693359375,43.602056008711926,53.95882655964745,,QuantData term-structure
2026-08-18T12:30:00-04:00,2026-08-21,3,320.0,put,-0.0002195197958154184,525.9990692138672,1623.68,fixed_strike,97.56088256835938,98.84834289550781,97.13172912597656,101.32789611816406,105.14259338378906,4.1961669921875,1.6689300537109375,,,,97.56088256835938,86.30752563476562,-11.25335693359375,43.602056008711926,53.95882655964745,,QuantData term-structure
2026-08-18T12:30:00-04:00,2026-08-21,3,330.0,call,1.0,0.0476837158203125,1623.68,fixed_strike,97.56088256835938,98.84834289550781,97.13172912597656,101.32789611816406,105.14259338378906,4.1961669921875,1.6689300537109375,,,,97.56088256835938,86.30752563476562,-11.25335693359375,43.602056008711926,53.95882655964745,,QuantData term-structure
2026-08-18T12:30:00-04:00,2026-08-21,3,350.0,put,-0.00014487902142123254,483.7512969970703,1623.68,fixed_strike,97.56088256835938,98.84834289550781,97.13172912597656,101.32789611816406,105.14259338378906,4.1961669921875,1.6689300537109375,,,,97.56088256835938,86.30752563476562,-11.25335693359375,43.602056008711926,53.95882655964745,,QuantData term-structure
2026-08-18T12:30:00-04:00,2026-08-21,3,370.0,put,-5.833352615785845e-05,435.78147888183594,1623.68,fixed_strike,97.56088256835938,98.84834289550781,97.13172912597656,101.32789611816406,105.14259338378906,4.1961669921875,1.6689300537109375,,,,97.56088256835938,86.30752563476562,-11.25335693359375,43.602056008711926,53.95882655964745,,QuantData term-structure
2026-08-18T12:30:00-04:00,2026-08-21,3,400.0,call,1.0,0.0476837158203125,1623.68,fixed_strike,97.56088256835938,98.84834289550781,97.13172912597656,101.32789611816406,105.14259338378906,4.1961669921875,1.6689300537109375,,,,97.56088256835938,86.30752563476562,-11.25335693359375,43.602056008711926,53.95882655964745,,QuantData term-structure
2026-08-18T12:30:00-04:00,2026-08-21,3,400.0,put,-0.0002559969073338398,454.47349548339844,1623.68,fixed_strike,97.56088256835938,98.84834289550781,97.13172912597656,101.32789611816406,105.14259338378906,4.1961669921875,1.6689300537109375,,,,97.56088256835938,86.30752563476562,-11.25335693359375,43.602056008711926,53.95882655964745,,QuantData term-structure
2026-08-18T12:30:00-04:00,2026-08-21,3,440.0,put,-0.00017036659704992442,413.37013244628906,1623.68,fixed_strike,97.56088256835938,98.84834289550781,97.13172912597656,101.32789611816406,105.14259338378906,4.1961669921875,1.6689300537109375,,,,97.56088256835938,86.30752563476562,-11.25335693359375,43.602056008711926,53.95882655964745,,QuantData term-structure
2026-08-18T12:30:00-04:00,2026-08-21,3,500.0,put,-0.00018918044589028571,374.6509552001953,1623.68,fixed_strike,97.56088256835938,98.84834289550781,97.13172912597656,101.32789611816406,105.14259338378906,4.1961669921875,1.6689300537109375,,,,97.56088256835938,86.30752563476562,-11.25335693359375,43.602056008711926,53.95882655964745,,QuantData term-structure
2026-08-18T12:30:00-04:00,2026-08-21,3,530.0,put,-0.0003210704337444733,365.0188446044922,1623.68,fixed_strike,97.56088256835938,98.84834289550781,97.13172912597656,101.32789611816406,105.14259338378906,4.1961669921875,1.6689300537109375,,,,97.56088256835938,86.30752563476562,-11.25335693359375,43.602056008711926,53.95882655964745,,QuantData term-structure
2026-08-18T12:30:00-04:00,2026-08-21,3,560.0,put,-0.00020780075452191352,340.2233123779297,1623.68,fixed_strike,97.56088256835938,98.84834289550781,97.13172912597656,101.32789611816406,105.14259338378906,4.1961669921875,1.6689300537109375,,,,97.56088256835938,86.30752563476562,-11.25335693359375,43.602056008711926,53.95882655964745,,QuantData term-structure
2026-08-18T12:30:00-04:00,2026-08-21,3,590.0,put,-0.0002043106236255645,332.40318298339844,1623.68,fixed_strike,97.56088256835938,98.84834289550781,97.13172912597656,101.32789611816406,105.14259338378906,4.1961669921875,1.6689300537109375,,,,97.56088256835938,86.30752563476562,-11.25335693359375,43.602056008711926,53.95882655964745,,QuantData term-structure
2026-08-18T12:30:00-04:00,2026-08-21,3,620.0,put,-0.0003734272609717997,315.23704528808594,1623.68,fixed_strike,97.56088256835938,98.84834289550781,97.13172912597656,101.32789611816406,105.14259338378906,4.1961669921875,1.6689300537109375,,,,97.56088256835938,86.30752563476562,-11.25335693359375,43.602056008711926,53.95882655964745,,QuantData term-structure
2026-08-18T12:30:00-04:00,2026-08-21,3,640.0,call,1.0,0.0476837158203125,1623.68,fixed_strike,97.56088256835938,98.84834289550781,97.13172912597656,101.32789611816406,105.14259338378906,4.1961669921875,1.6689300537109375,,,,97.56088256835938,86.30752563476562,-11.25335693359375,43.602056008711926,53.95882655964745,,QuantData term-structure
2026-08-18T12:30:00-04:00,2026-08-21,3,700.0,put,-0.0002719755625903227,268.2209014892578,1623.68,fixed_strike,97.56088256835938,98.84834289550781,97.13172912597656,101.32789611816406,105.14259338378906,4.1961669921875,1.6689300537109375,,,,97.56088256835938,86.30752563476562,-11.25335693359375,43.602056008711926,53.95882655964745,,QuantData term-structure
2026-08-18T12:30:00-04:00,2026-08-21,3,710.0,put,-0.0002572122699656993,270.98655700683594,1623.68,fixed_strike,97.56088256835938,98.84834289550781,97.13172912597656,101.32789611816406,105.14259338378906,4.1961669921875,1.6689300537109375,,,,97.56088256835938,86.30752563476562,-11.25335693359375,43.602056008711926,53.95882655964745,,QuantData term-structure
2026-08-18T12:30:00-04:00,2026-08-21,3,730.0,put,-0.00010274907254869825,242.47169494628906,1623.68,fixed_strike,97.56088256835938,98.84834289550781,97.13172912597656,101.32789611816406,105.14259338378906,4.1961669921875,1.6689300537109375,,,,97.56088256835938,86.30752563476562,-11.25335693359375,43.602056008711926,53.95882655964745,,QuantData term-structure
2026-08-18T12:30:00-04:00,2026-08-21,3,750.0,put,-0.00043152893443359385,263.35716247558594,1623.68,fixed_strike,97.56088256835938,98.84834289550781,97.13172912597656,101.32789611816406,105.14259338378906,4.1961669921875,1.6689300537109375,,,,97.56088256835938,86.30752563476562,-11.25335693359375,43.602056008711926,53.95882655964745,,QuantData term-structure
2026-08-18T12:30:00-04:00,2026-08-21,3,790.0,put,-0.00044253514296559333,250.9593963623047,1623.68,fixed_strike,97.56088256835938,98.84834289550781,97.13172912597656,101.32789611816406,105.14259338378906,4.1961669921875,1.6689300537109375,,,,97.56088256835938,86.30752563476562,-11.25335693359375,43.602056008711926,53.95882655964745,,QuantData term-structure
2026-08-18T12:30:00-04:00,2026-08-21,3,800.0,put,-0.0004928264326961822,236.8450164794922,1623.68,fixed_strike,97.56088256835938,98.84834289550781,97.13172912597656,101.32789611816406,105.14259338378906,4.1961669921875,1.6689300537109375,,,,97.56088256835938,86.30752563476562,-11.25335693359375,43.602056008711926,53.95882655964745,,QuantData term-structure
2026-08-18T12:30:00-04:00,2026-08-21,3,820.0,put,-0.00041505975734461184,227.3082733154297,1623.68,fixed_strike,97.56088256835938,98.84834289550781,97.13172912597656,101.32789611816406,105.14259338378906,4.1961669921875,1.6689300537109375,,,,97.56088256835938,86.30752563476562,-11.25335693359375,43.602056008711926,53.95882655964745,,QuantData term-structure
2026-08-18T12:30:00-04:00,2026-08-21,3,840.0,put,-0.00022979048290312594,210.33287048339844,1623.68,fixed_strike,97.56088256835938,98.84834289550781,97.13172912597656,101.32789611816406,105.14259338378906,4.1961669921875,1.6689300537109375,,,,97.56088256835938,86.30752563476562,-11.25335693359375,43.602056008711926,53.95882655964745,,QuantData term-structure
2026-08-18T12:30:00-04:00,2026-08-21,3,850.0,call,0.999657999754954,225.59165954589844,1623.68,fixed_strike,97.56088256835938,98.84834289550781,97.13172912597656,101.32789611816406,105.14259338378906,4.1961669921875,1.6689300537109375,,,,97.56088256835938,86.30752563476562,-11.25335693359375,43.602056008711926,53.95882655964745,,QuantData term-structure
2026-08-18T12:30:00-04:00,2026-08-21,3,850.0,put,-0.00043698605696001943,217.1039581298828,1623.68,fixed_strike,97.56088256835938,98.84834289550781,97.13172912597656,101.32789611816406,105.14259338378906,4.1961669921875,1.6689300537109375,,,,97.56088256835938,86.30752563476562,-11.25335693359375,43.602056008711926,53.95882655964745,,QuantData term-structure
2026-08-18T12:30:00-04:00,2026-08-21,3,860.0,put,-0.00033228903339373834,211.2865447998047,1623.68,fixed_strike,97.56088256835938,98.84834289550781,97.13172912597656,101.32789611816406,105.14259338378906,4.1961669921875,1.6689300537109375,,,,97.56088256835938,86.30752563476562,-11.25335693359375,43.602056008711926,53.95882655964745,,QuantData term-structure
2026-08-18T12:30:00-04:00,2026-08-21,3,880.0,put,-0.0005669774264347951,206.13670349121094,1623.68,fixed_strike,97.56088256835938,98.84834289550781,97.13172912597656,101.32789611816406,105.14259338378906,4.1961669921875,1.6689300537109375,,,,97.56088256835938,86.30752563476562,-11.25335693359375,43.602056008711926,53.95882655964745,,QuantData term-structure
2026-08-18T12:30:00-04:00,2026-08-21,3,890.0,put,-0.0002465142350518525,195.55091857910156,1623.68,fixed_strike,97.56088256835938,98.84834289550781,97.13172912597656,101.32789611816406,105.14259338378906,4.1961669921875,1.6689300537109375,,,,97.56088256835938,86.30752563476562,-11.25335693359375,43.602056008711926,53.95882655964745,,QuantData term-structure
2026-08-18T12:30:00-04:00,2026-08-21,3,900.0,put,-0.00036629463394200943,196.31385803222656,1623.68,fixed_strike,97.56088256835938,98.84834289550781,97.13172912597656,101.32789611816406,105.14259338378906,4.1961669921875,1.6689300537109375,,,,97.56088256835938,86.30752563476562,-11.25335693359375,43.602056008711926,53.95882655964745,,QuantData term-structure
