timestamp,option_symbol,underlying,expiration,dte,strike,call_put,trade_price,bid,ask,trade_size,premium,volume,open_interest,underlying_price,iv,delta,exchange,trade_condition,sweep,block,multi_leg,aggressor_side,opening_closing_inference,moneyness,source
2026-08-18T09:31:57.242000-04:00,,LITE,2026-08-21,3.31113425925926,900.0,call,58.08,55.7,60.2,60,348480.0,62,767,941.44,94.46144104003906,0.7088877697152838,MIAX,MULTI_AUCT_COB,false,false,true,ask,unknown,IN_THE_MONEY,QuantData order-flow/consolidated (latest page only)
2026-08-18T09:32:38.973000-04:00,,LITE,2026-08-21,3.3106597222222227,1000.0,call,12.0,10.1,12.7,130,156000.0,208,3614,930.98,99.51591491699219,0.24109184500670405,PHIL,AUCT,false,true,false,ask,unknown,OUT_OF_THE_MONEY,QuantData order-flow/consolidated (latest page only)
2026-08-18T09:33:25.515000-04:00,,LITE,2026-08-21,3.310115740740741,1000.0,call,10.0,9.1,10.0,338,338000.0,546,3614,924.71,97.41783142089844,0.21391721210191467,MULTIPLE,AUTO,true,false,false,ask,unknown,OUT_OF_THE_MONEY,QuantData order-flow/consolidated (latest page only)
2026-08-18T09:33:41.167000-04:00,,LITE,2026-08-21,3.3099305555555554,1000.0,call,10.0,9.4,10.0,400,400000.0,1009,3614,925.23,96.94099426269531,0.21466936345491877,MULTIPLE,AUTO,true,false,false,ask,unknown,OUT_OF_THE_MONEY,QuantData order-flow/consolidated (latest page only)
2026-08-18T09:33:49.719000-04:00,,LITE,2026-10-16,59.309837962962966,500.0,call,433.56,426.7,440.0,12,520272.0,12,50,924.01,94.65217590332031,0.9656876852510026,SPHR,MULTI_AUTO_COB,false,true,true,ask,unknown,IN_THE_MONEY,QuantData order-flow/consolidated (latest page only)
2026-08-18T09:33:49.719000-04:00,,LITE,2026-10-16,59.309837962962966,600.0,call,342.58,336.5,349.1,12,411096.0,12,62,924.01,88.54866027832031,0.9207838650441773,SPHR,MULTI_AUTO_COB,false,true,true,bid,unknown,IN_THE_MONEY,QuantData order-flow/consolidated (latest page only)
2026-08-18T09:34:03.547000-04:00,,LITE,2026-12-18,122.35134259259259,1260.0,call,90.0,90.0,94.0,50,450000.0,50,369,922.7,86.25984191894531,0.3668271636182123,MULTIPLE,AUTO,true,false,false,bid,unknown,OUT_OF_THE_MONEY,QuantData order-flow/consolidated (latest page only)
2026-08-18T09:34:40.040000-04:00,,LITE,2026-08-21,3.3092476851851855,970.0,call,16.0,14.4,16.0,200,320000.0,201,562,920.37,98.27613830566406,0.3052601723866332,MULTIPLE,AUTO,true,false,false,ask,unknown,OUT_OF_THE_MONEY,QuantData order-flow/consolidated (latest page only)
2026-08-18T09:35:12.181000-04:00,,LITE,2026-09-25,38.308877314814815,950.0,put,110.16,104.4,116.6,19,209322.0,19,28,929.47,84.63859558105469,-0.469529725476059,MULTIPLE,MULTI_AUTO_COB,true,false,true,bid,unknown,IN_THE_MONEY,QuantData order-flow/consolidated (latest page only)
2026-08-18T09:35:12.181000-04:00,,LITE,2026-10-02,45.308877314814815,950.0,put,118.16,112.0,124.7,19,224522.0,19,26,929.47,84.35249328613281,-0.4617269033969037,MULTIPLE,MULTI_AUTO_COB,true,false,true,bid,unknown,IN_THE_MONEY,QuantData order-flow/consolidated (latest page only)
2026-08-18T09:37:49.855000-04:00,,LITE,2026-08-21,3.3070601851851857,970.0,call,18.0,16.2,18.0,200,360000.0,402,562,926.79,98.18077087402344,0.3313137151392122,MULTIPLE,AUTO,true,false,false,ask,unknown,OUT_OF_THE_MONEY,QuantData order-flow/consolidated (latest page only)
2026-08-18T09:40:39.302000-04:00,,LITE,2026-08-21,3.3050925925925925,980.0,call,16.0,14.0,16.0,200,320000.0,207,515,934.45,93.31703186035156,0.3134162345405367,MULTIPLE,AUTO,true,false,false,ask,unknown,OUT_OF_THE_MONEY,QuantData order-flow/consolidated (latest page only)
2026-08-18T09:40:59.816000-04:00,,LITE,2026-09-18,31.304861111111112,740.0,call,217.6,217.6,221.1,11,239360.0,11,108,937.12,83.39881896972656,0.8656589366184455,NQEX,AUTO,false,true,false,bid,unknown,IN_THE_MONEY,QuantData order-flow/consolidated (latest page only)
2026-08-18T09:42:23.549000-04:00,,LITE,2026-08-21,3.303888888888889,930.0,call,35.63,34.6,38.8,100,356300.0,146,235,937.6,88.83476257324219,0.5572272066611033,MIAX,MULTI_AUTO_COB,false,true,true,bid,unknown,IN_THE_MONEY,QuantData order-flow/consolidated (latest page only)
2026-08-18T09:42:23.549000-04:00,,LITE,2026-08-21,3.303888888888889,980.0,call,15.28,13.9,16.0,100,152800.0,312,515,937.6,87.88108825683594,0.31487531020787796,MIAX,MULTI_AUTO_COB,false,true,true,ask,unknown,OUT_OF_THE_MONEY,QuantData order-flow/consolidated (latest page only)
2026-08-18T09:42:41.804000-04:00,,LITE,2026-08-28,10.303680555555555,880.0,put,30.3,27.2,30.3,100,303000.0,100,197,933.4,87.69035339355469,-0.31444715625454556,ISEX,AUTO,false,false,false,ask,unknown,OUT_OF_THE_MONEY,QuantData order-flow/consolidated (latest page only)
2026-08-18T09:47:37.045000-04:00,,LITE,2026-09-04,17.300254629629627,930.0,call,64.98,62.3,68.9,36,233938.0,36,5,921.02,85.21080017089844,0.5211956395095281,MULTIPLE,AUTO,true,false,false,bid,opening,OUT_OF_THE_MONEY,QuantData order-flow/consolidated (latest page only)
2026-08-18T09:49:00.755000-04:00,,LITE,2026-12-18,122.34096064814815,1260.0,call,88.0,88.0,96.4,50,440000.0,100,369,917.57,86.25984191894531,0.36261912072268315,MULTIPLE,AUTO,true,false,false,bid,unknown,OUT_OF_THE_MONEY,QuantData order-flow/consolidated (latest page only)
2026-08-18T09:53:14.743000-04:00,,LITE,2027-02-19,185.33802083333333,970.0,call,207.07,201.7,213.1,50,1035350.0,51,4,916.1,85.02006530761719,0.5987881925402352,MIAX,MULTI_AUTO_COB,false,true,true,bid,opening,OUT_OF_THE_MONEY,QuantData order-flow/consolidated (latest page only)
2026-08-18T09:53:14.743000-04:00,,LITE,2027-02-19,185.33802083333333,960.0,call,210.72,204.7,216.1,50,1053600.0,50,5,916.1,85.02006530761719,0.6053917249169326,MIAX,MULTI_AUTO_COB,false,true,true,ask,opening,OUT_OF_THE_MONEY,QuantData order-flow/consolidated (latest page only)
2026-08-18T09:56:04.550000-04:00,,LITE,2026-08-28,10.294386574074073,1010.0,call,20.0,18.9,20.0,117,234000.0,121,35,909.86,87.40425109863281,0.2650298354543672,MULTIPLE,AUTO,true,false,false,ask,opening,OUT_OF_THE_MONEY,QuantData order-flow/consolidated (latest page only)
2026-08-18T09:56:15.695000-04:00,,LITE,2026-08-28,10.29425925925926,1000.0,call,22.0,21.0,22.0,95,209000.0,116,248,910.24,86.64131164550781,0.2865413185542788,MULTIPLE,AUTO,true,false,false,ask,unknown,OUT_OF_THE_MONEY,QuantData order-flow/consolidated (latest page only)
2026-08-18T09:57:21.994000-04:00,,LITE,2026-08-28,10.29349537037037,1020.0,call,19.0,17.4,19.0,192,364800.0,194,16,917.84,85.59226989746094,0.2568829148140058,MULTIPLE,AUTO,true,false,false,ask,opening,OUT_OF_THE_MONEY,QuantData order-flow/consolidated (latest page only)
2026-08-18T09:58:30.196000-04:00,,LITE,2026-08-28,10.29269675925926,1010.0,call,20.2,20.2,20.2,135,272700.0,341,35,917.12,83.97102355957031,0.27318983351813964,MULTIPLE,AUTO,true,false,false,mid,opening,OUT_OF_THE_MONEY,QuantData order-flow/consolidated (latest page only)
2026-08-18T09:59:05.460000-04:00,,LITE,2026-08-21,3.292291666666667,960.0,call,16.0,15.9,16.0,183,292800.0,210,545,916.16,93.79386901855469,0.3172472542850302,MULTIPLE,AUTO,true,false,false,ask,unknown,OUT_OF_THE_MONEY,QuantData order-flow/consolidated (latest page only)
2026-08-18T10:03:24.217000-04:00,,LITE,2026-08-21,3.289293981481481,970.0,call,15.0,13.4,15.0,280,420000.0,739,562,924.28,91.50505065917969,0.3059021533495106,MULTIPLE,AUTO,true,false,false,ask,unknown,OUT_OF_THE_MONEY,QuantData order-flow/consolidated (latest page only)
