timestamp,symbol,session,open,high,low,close,bid,ask,bid_size,ask_size,volume,vwap,trade_count,previous_close,day_open,overnight_high,overnight_low,day_high,day_low,is_new_high,is_new_low,vwap_position,higher_high,lower_low,atr,realized_vol,price_velocity,price_acceleration,distance_call_wall,distance_put_wall,distance_gamma_flip,source
2026-08-17T09:30:00-04:00,SPX,regular,7790.68,7790.68,7785.47,7788.27,,,,,,,,7785.76,7790.68,,,7790.68,7785.47,true,true,,,,5.21,,2.51,,,,,QuantData stock-price-over-time
2026-08-17T09:31:00-04:00,SPX,regular,7788.27,7789.47,7784.82,7785.49,,,,,,,,7785.76,7790.68,,,7790.68,7784.82,false,true,,false,true,4.93,,-2.78,-5.29,,,,QuantData stock-price-over-time
2026-08-17T09:32:00-04:00,SPX,regular,7785.49,7785.49,7779.76,7779.76,,,,,,,,7785.76,7790.68,,,7790.68,7779.76,false,true,,false,true,5.196667,0.0,-5.73,-2.95,,,,QuantData stock-price-over-time
2026-08-17T09:33:00-04:00,SPX,regular,7779.76,7781.0,7778.28,7779.3,,,,,,,,7785.76,7790.68,,,7790.68,7778.28,false,true,,false,true,4.5775,0.0,-0.46,5.27,,,,QuantData stock-price-over-time
2026-08-17T09:34:00-04:00,SPX,regular,7779.3,7779.66,7775.17,7775.17,,,,,,,,7785.76,7790.68,,,7790.68,7775.17,false,true,,false,true,4.56,0.0,-4.13,-3.67,,,,QuantData stock-price-over-time
2026-08-17T09:35:00-04:00,SPX,regular,7775.17,7778.82,7774.74,7778.82,,,,,,,,7785.76,7790.68,,,7790.68,7774.74,false,true,,false,true,4.48,0.0,3.65,7.78,,,,QuantData stock-price-over-time
2026-08-17T09:36:00-04:00,SPX,regular,7778.82,7779.82,7777.74,7778.3,,,,,,,,7785.76,7790.68,,,7790.68,7774.74,false,false,,true,false,4.137143,0.0,-0.52,-4.17,,,,QuantData stock-price-over-time
2026-08-17T09:37:00-04:00,SPX,regular,7778.3,7778.97,7775.97,7775.97,,,,,,,,7785.76,7790.68,,,7790.68,7774.74,false,false,,false,true,3.995,0.0,-2.33,-1.81,,,,QuantData stock-price-over-time
2026-08-17T09:38:00-04:00,SPX,regular,7775.97,7777.27,7775.77,7777.27,,,,,,,,7785.76,7790.68,,,7790.68,7774.74,false,false,,false,true,3.717778,0.0,1.3,3.63,,,,QuantData stock-price-over-time
2026-08-17T09:39:00-04:00,SPX,regular,7777.27,7777.7,7774.38,7775.24,,,,,,,,7785.76,7790.68,,,7790.68,7774.38,false,true,,true,true,3.678,0.0,-2.03,-3.33,,,,QuantData stock-price-over-time
2026-08-17T09:40:00-04:00,SPX,regular,7775.24,7776.06,7774.15,7774.9,,,,,,,,7785.76,7790.68,,,7790.68,7774.15,false,true,,false,true,3.517273,0.0,-0.34,1.69,,,,QuantData stock-price-over-time
2026-08-17T09:41:00-04:00,SPX,regular,7774.9,7777.71,7774.31,7776.92,,,,,,,,7785.76,7790.68,,,7790.68,7774.15,false,false,,true,false,3.5075,0.0,2.02,2.36,,,,QuantData stock-price-over-time
2026-08-17T09:42:00-04:00,SPX,regular,7776.92,7777.59,7775.68,7777.59,,,,,,,,7785.76,7790.68,,,7790.68,7774.15,false,false,,false,false,3.384615,0.0,0.67,-1.35,,,,QuantData stock-price-over-time
2026-08-17T09:43:00-04:00,SPX,regular,7777.36,7777.81,7775.32,7775.32,,,,,,,,7785.76,7790.68,,,7790.68,7774.15,false,false,,true,true,3.320714,0.0,-2.27,-2.94,,,,QuantData stock-price-over-time
2026-08-17T09:44:00-04:00,SPX,regular,7775.32,7776.53,7774.46,7775.99,,,,,,,,7785.76,7790.68,,,7790.68,7774.15,false,false,,false,true,3.096429,0.0,0.67,2.94,,,,QuantData stock-price-over-time
2026-08-17T09:45:00-04:00,SPX,regular,7775.99,7778.29,7774.75,7775.27,,,,,,,,7785.76,7790.68,,,7790.68,7774.15,false,false,,true,false,3.017143,0.0,-0.72,-1.39,,,,QuantData stock-price-over-time
2026-08-17T09:46:00-04:00,SPX,regular,7775.27,7775.96,7772.87,7772.87,,,,,,,,7785.76,7790.68,,,7790.68,7772.87,false,true,,false,true,2.828571,0.0,-2.4,-1.68,,,,QuantData stock-price-over-time
2026-08-17T09:47:00-04:00,SPX,regular,7772.87,7776.7,7772.78,7776.7,,,,,,,,7785.76,7790.68,,,7790.68,7772.78,false,true,,true,true,2.914286,0.0,3.83,6.23,,,,QuantData stock-price-over-time
2026-08-17T09:48:00-04:00,SPX,regular,7776.7,7778.95,7775.88,7778.93,,,,,,,,7785.76,7790.68,,,7790.68,7772.78,false,false,,true,false,2.812857,0.0,2.23,-1.6,,,,QuantData stock-price-over-time
2026-08-17T09:49:00-04:00,SPX,regular,7778.93,7780.91,7778.05,7780.33,,,,,,,,7785.76,7790.68,,,7790.68,7772.78,false,false,,true,false,2.725714,0.0,1.4,-0.83,,,,QuantData stock-price-over-time
2026-08-17T09:50:00-04:00,SPX,regular,7780.33,7780.68,7777.22,7777.22,,,,,,,,7785.76,7790.68,,,7790.68,7772.78,false,false,,false,true,2.824286,0.0,-3.11,-4.51,,,,QuantData stock-price-over-time
2026-08-17T09:51:00-04:00,SPX,regular,7777.22,7779.87,7776.77,7779.87,,,,,,,,7785.76,7790.68,,,7790.68,7772.78,false,false,,false,true,2.831429,0.0,2.65,5.76,,,,QuantData stock-price-over-time
2026-08-17T09:52:00-04:00,SPX,regular,7779.87,7780.09,7776.85,7777.0,,,,,,,,7785.76,7790.68,,,7790.68,7772.78,false,false,,true,false,2.955714,0.0,-2.87,-5.52,,,,QuantData stock-price-over-time
2026-08-17T09:53:00-04:00,SPX,regular,7777.0,7777.67,7775.93,7777.27,,,,,,,,7785.76,7790.68,,,7790.68,7772.78,false,false,,false,true,2.842857,0.0,0.27,3.14,,,,QuantData stock-price-over-time
2026-08-17T09:54:00-04:00,SPX,regular,7777.27,7779.24,7777.12,7779.18,,,,,,,,7785.76,7790.68,,,7790.68,7772.78,false,false,,true,false,2.857857,0.0,1.91,1.64,,,,QuantData stock-price-over-time
2026-08-17T09:55:00-04:00,SPX,regular,7779.18,7779.57,7777.42,7777.42,,,,,,,,7785.76,7790.68,,,7790.68,7772.78,false,false,,true,false,2.768571,0.0,-1.76,-3.67,,,,QuantData stock-price-over-time
2026-08-17T09:56:00-04:00,SPX,regular,7777.42,7777.51,7775.02,7776.85,,,,,,,,7785.76,7790.68,,,7790.68,7772.78,false,false,,false,true,2.81,0.0,-0.57,1.19,,,,QuantData stock-price-over-time
2026-08-17T09:57:00-04:00,SPX,regular,7776.85,7776.85,7775.53,7775.53,,,,,,,,7785.76,7790.68,,,7790.68,7772.78,false,false,,false,false,2.726429,0.0,-1.32,-0.75,,,,QuantData stock-price-over-time
2026-08-17T09:58:00-04:00,SPX,regular,7775.53,7776.03,7773.77,7773.86,,,,,,,,7785.76,7790.68,,,7790.68,7772.78,false,false,,false,true,2.74,0.0,-1.67,-0.35,,,,QuantData stock-price-over-time
2026-08-17T09:59:00-04:00,SPX,regular,7773.86,7774.24,7772.89,7773.93,,,,,,,,7785.76,7790.68,,,7790.68,7772.78,false,false,,false,true,2.583571,0.0,0.07,1.74,,,,QuantData stock-price-over-time
2026-08-17T10:00:00-04:00,SPX,regular,7773.93,7775.33,7772.29,7772.48,,,,,,,,7785.76,7790.68,,,7790.68,7772.29,false,true,,true,true,2.58,9.047822,-1.45,-1.52,,,,QuantData stock-price-over-time
2026-08-17T10:01:00-04:00,SPX,regular,7772.48,7773.44,7771.38,7773.29,,,,,,,,7785.76,7790.68,,,7790.68,7771.38,false,true,,false,true,2.447143,8.936182,0.81,2.26,,,,QuantData stock-price-over-time
2026-08-17T10:02:00-04:00,SPX,regular,7773.29,7775.75,7772.35,7772.35,,,,,,,,7785.76,7790.68,,,7790.68,7771.38,false,false,,true,false,2.470714,8.016872,-0.94,-1.75,,,,QuantData stock-price-over-time
2026-08-17T10:03:00-04:00,SPX,regular,7772.35,7774.85,7771.55,7774.85,,,,,,,,7785.76,7790.68,,,7790.68,7771.38,false,false,,false,true,2.502143,8.257001,2.5,3.44,,,,QuantData stock-price-over-time
2026-08-17T10:04:00-04:00,SPX,regular,7774.85,7775.36,7774.51,7775.36,,,,,,,,7785.76,7790.68,,,7790.68,7771.38,false,false,,true,false,2.315714,7.709576,0.51,-1.99,,,,QuantData stock-price-over-time
2026-08-17T10:05:00-04:00,SPX,regular,7775.36,7775.88,7773.55,7774.34,,,,,,,,7785.76,7790.68,,,7790.68,7771.38,false,false,,true,true,2.260714,7.240407,-1.02,-1.53,,,,QuantData stock-price-over-time
2026-08-17T10:06:00-04:00,SPX,regular,7774.34,7774.4,7773.23,7774.4,,,,,,,,7785.76,7790.68,,,7790.68,7771.38,false,false,,false,true,2.112857,7.23649,0.06,1.08,,,,QuantData stock-price-over-time
2026-08-17T10:07:00-04:00,SPX,regular,7774.4,7775.22,7773.84,7774.47,,,,,,,,7785.76,7790.68,,,7790.68,7771.38,false,false,,true,false,2.087143,7.047197,0.07,0.01,,,,QuantData stock-price-over-time
2026-08-17T10:08:00-04:00,SPX,regular,7774.47,7774.52,7772.04,7773.79,,,,,,,,7785.76,7790.68,,,7790.68,7771.38,false,false,,false,true,2.112857,6.987136,-0.68,-0.75,,,,QuantData stock-price-over-time
2026-08-17T10:09:00-04:00,SPX,regular,7773.79,7775.58,7773.79,7775.58,,,,,,,,7785.76,7790.68,,,7790.68,7771.38,false,false,,true,false,2.087143,6.967118,1.79,2.47,,,,QuantData stock-price-over-time
2026-08-17T10:10:00-04:00,SPX,regular,7775.58,7777.42,7775.58,7776.9,,,,,,,,7785.76,7790.68,,,7790.68,7771.38,false,false,,true,false,2.040714,7.02509,1.32,-0.47,,,,QuantData stock-price-over-time
2026-08-17T10:11:00-04:00,SPX,regular,7776.9,7777.13,7775.51,7775.57,,,,,,,,7785.76,7790.68,,,7790.68,7771.38,false,false,,false,true,2.062143,6.93821,-1.33,-2.65,,,,QuantData stock-price-over-time
2026-08-17T10:12:00-04:00,SPX,regular,7775.57,7777.87,7775.2,7777.44,,,,,,,,7785.76,7790.68,,,7790.68,7771.38,false,false,,true,true,2.091429,7.058504,1.87,3.2,,,,QuantData stock-price-over-time
2026-08-17T10:13:00-04:00,SPX,regular,7777.44,7777.82,7777.04,7777.14,,,,,,,,7785.76,7790.68,,,7790.68,7771.38,false,false,,false,false,2.050714,6.857138,-0.3,-2.17,,,,QuantData stock-price-over-time
2026-08-17T10:14:00-04:00,SPX,regular,7777.14,7778.49,7777.14,7777.68,,,,,,,,7785.76,7790.68,,,7790.68,7771.38,false,false,,true,false,1.93,6.851517,0.54,0.84,,,,QuantData stock-price-over-time
2026-08-17T10:15:00-04:00,SPX,regular,7777.68,7777.85,7776.31,7776.44,,,,,,,,7785.76,7790.68,,,7790.68,7771.38,false,false,,false,true,1.892857,6.893626,-1.24,-1.78,,,,QuantData stock-price-over-time
2026-08-17T10:16:00-04:00,SPX,regular,7776.44,7776.69,7773.97,7773.97,,,,,,,,7785.76,7790.68,,,7790.68,7771.38,false,false,,false,true,1.844286,6.907152,-2.47,-1.23,,,,QuantData stock-price-over-time
2026-08-17T10:17:00-04:00,SPX,regular,7773.97,7774.45,7773.43,7774.31,,,,,,,,7785.76,7790.68,,,7790.68,7771.38,false,false,,false,true,1.681429,6.303979,0.34,2.81,,,,QuantData stock-price-over-time
2026-08-17T10:18:00-04:00,SPX,regular,7774.31,7774.31,7773.48,7773.48,,,,,,,,7785.76,7790.68,,,7790.68,7771.38,false,false,,false,false,1.68,6.081724,-0.83,-1.17,,,,QuantData stock-price-over-time
2026-08-17T10:19:00-04:00,SPX,regular,7773.48,7775.09,7773.21,7774.9,,,,,,,,7785.76,7790.68,,,7790.68,7771.38,false,false,,true,true,1.647857,6.084698,1.42,2.25,,,,QuantData stock-price-over-time
2026-08-17T10:20:00-04:00,SPX,regular,7774.9,7774.9,7772.14,7772.16,,,,,,,,7785.76,7790.68,,,7790.68,7771.38,false,false,,false,true,1.761429,5.993904,-2.74,-4.16,,,,QuantData stock-price-over-time
2026-08-17T10:21:00-04:00,SPX,regular,7772.16,7772.67,7771.64,7772.47,,,,,,,,7785.76,7790.68,,,7790.68,7771.38,false,false,,false,true,1.736429,5.625869,0.31,3.05,,,,QuantData stock-price-over-time
2026-08-17T10:22:00-04:00,SPX,regular,7772.47,7773.13,7772.32,7772.47,,,,,,,,7785.76,7790.68,,,7790.68,7771.38,false,false,,true,false,1.617143,5.273396,0.0,-0.31,,,,QuantData stock-price-over-time
