timestamp,symbol,session,open,high,low,close,bid,ask,bid_size,ask_size,volume,vwap,trade_count,previous_close,day_open,overnight_high,overnight_low,day_high,day_low,is_new_high,is_new_low,vwap_position,higher_high,lower_low,atr,realized_vol,price_velocity,price_acceleration,distance_call_wall,distance_put_wall,distance_gamma_flip,source
2026-08-17T09:30:00-04:00,MSFT,regular,490.25,491.71,489.97,490.94,,,,,,,,495.2,490.25,,,491.71,489.97,true,true,,,,5.23,,-4.26,,,,,QuantData stock-price-over-time
2026-08-17T09:31:00-04:00,MSFT,regular,490.94,492.46,490.62,492.28,,,,,,,,495.2,490.25,,,492.46,489.97,true,false,,true,false,3.535,,1.34,5.6,,,,QuantData stock-price-over-time
2026-08-17T09:32:00-04:00,MSFT,regular,492.28,492.44,491.24,492.32,,,,,,,,495.2,490.25,,,492.46,489.97,false,false,,false,false,2.756667,0.0,0.04,-1.3,,,,QuantData stock-price-over-time
2026-08-17T09:33:00-04:00,MSFT,regular,492.32,492.32,490.52,490.52,,,,,,,,495.2,490.25,,,492.46,489.97,false,false,,false,true,2.5175,0.0,-1.8,-1.84,,,,QuantData stock-price-over-time
2026-08-17T09:34:00-04:00,MSFT,regular,490.63,491.57,490.63,491.49,,,,,,,,495.2,490.25,,,492.46,489.97,false,false,,false,false,2.224,0.0,0.97,2.77,,,,QuantData stock-price-over-time
2026-08-17T09:35:00-04:00,MSFT,regular,491.49,491.49,489.55,490.35,,,,,,,,495.2,490.25,,,492.46,489.55,false,true,,false,true,2.176667,0.0,-1.14,-2.11,,,,QuantData stock-price-over-time
2026-08-17T09:36:00-04:00,MSFT,regular,490.35,490.88,489.91,490.19,,,,,,,,495.2,490.25,,,492.46,489.55,false,false,,false,false,2.004286,0.0,-0.16,0.98,,,,QuantData stock-price-over-time
2026-08-17T09:37:00-04:00,MSFT,regular,490.19,490.31,489.57,489.82,,,,,,,,495.2,490.25,,,492.46,489.55,false,false,,false,true,1.84625,0.0,-0.37,-0.21,,,,QuantData stock-price-over-time
2026-08-17T09:38:00-04:00,MSFT,regular,489.82,490.19,489.39,490.19,,,,,,,,495.2,490.25,,,492.46,489.39,false,true,,false,true,1.73,0.0,0.37,0.74,,,,QuantData stock-price-over-time
2026-08-17T09:39:00-04:00,MSFT,regular,490.19,490.9,489.43,489.49,,,,,,,,495.2,490.25,,,492.46,489.39,false,false,,true,false,1.704,0.0,-0.7,-1.07,,,,QuantData stock-price-over-time
2026-08-17T09:40:00-04:00,MSFT,regular,489.49,489.52,488.85,488.85,,,,,,,,495.2,490.25,,,492.46,488.85,false,true,,false,true,1.61,0.0,-0.64,0.06,,,,QuantData stock-price-over-time
2026-08-17T09:41:00-04:00,MSFT,regular,488.85,489.07,488.27,488.6,,,,,,,,495.2,490.25,,,492.46,488.27,false,true,,false,true,1.5425,0.0,-0.25,0.39,,,,QuantData stock-price-over-time
2026-08-17T09:42:00-04:00,MSFT,regular,488.6,488.84,488.16,488.43,,,,,,,,495.2,490.25,,,492.46,488.16,false,true,,false,true,1.476154,0.0,-0.17,0.08,,,,QuantData stock-price-over-time
2026-08-17T09:43:00-04:00,MSFT,regular,488.43,488.5,486.35,486.35,,,,,,,,495.2,490.25,,,492.46,486.35,false,true,,false,true,1.524286,0.0,-2.08,-1.91,,,,QuantData stock-price-over-time
2026-08-17T09:44:00-04:00,MSFT,regular,486.09,486.27,485.64,485.65,,,,,,,,495.2,490.25,,,492.46,485.64,false,true,,false,true,1.201429,0.0,-0.7,1.38,,,,QuantData stock-price-over-time
2026-08-17T09:45:00-04:00,MSFT,regular,485.65,486.41,485.65,486.29,,,,,,,,495.2,490.25,,,492.46,485.64,false,false,,true,false,1.124286,0.0,0.64,1.34,,,,QuantData stock-price-over-time
2026-08-17T09:46:00-04:00,MSFT,regular,486.29,486.29,485.9,486.05,,,,,,,,495.2,490.25,,,492.46,485.64,false,false,,false,false,1.066429,0.0,-0.24,-0.88,,,,QuantData stock-price-over-time
2026-08-17T09:47:00-04:00,MSFT,regular,486.0,486.54,486.0,486.54,,,,,,,,495.2,490.25,,,492.46,485.64,false,false,,true,false,0.976429,0.0,0.49,0.73,,,,QuantData stock-price-over-time
2026-08-17T09:48:00-04:00,MSFT,regular,486.54,486.69,486.24,486.27,,,,,,,,495.2,490.25,,,492.46,485.64,false,false,,true,false,0.933571,0.0,-0.27,-0.76,,,,QuantData stock-price-over-time
2026-08-17T09:49:00-04:00,MSFT,regular,486.27,486.35,485.81,486.06,,,,,,,,495.2,490.25,,,492.46,485.64,false,false,,false,true,0.833571,0.0,-0.21,0.06,,,,QuantData stock-price-over-time
2026-08-17T09:50:00-04:00,MSFT,regular,486.06,486.06,484.79,485.03,,,,,,,,495.2,490.25,,,492.46,484.79,false,true,,false,true,0.855,0.0,-1.03,-0.82,,,,QuantData stock-price-over-time
