timestamp,symbol,session,open,high,low,close,bid,ask,bid_size,ask_size,volume,vwap,trade_count,previous_close,day_open,overnight_high,overnight_low,day_high,day_low,is_new_high,is_new_low,vwap_position,higher_high,lower_low,atr,realized_vol,price_velocity,price_acceleration,distance_call_wall,distance_put_wall,distance_gamma_flip,source
2026-08-18T09:30:00-04:00,COHR,regular,324.07,327.95,324.07,327.2,,,,,,,,350.69,324.07,,,327.95,324.07,true,true,,,,26.62,,-23.49,,,,,QuantData stock-price-over-time
2026-08-18T09:31:00-04:00,COHR,regular,327.2,327.89,325.41,327.66,,,,,,,,350.69,324.07,,,327.95,324.07,false,false,,false,false,14.55,,0.46,23.95,,,,QuantData stock-price-over-time
2026-08-18T09:32:00-04:00,COHR,regular,327.24,327.5,323.37,323.91,,,,,,,,350.69,324.07,,,327.95,323.37,false,true,,false,true,11.13,0.0,-3.75,-4.21,,,,QuantData stock-price-over-time
2026-08-18T09:33:00-04:00,COHR,regular,323.91,326.04,323.26,324.07,,,,,,,,350.69,324.07,,,327.95,323.26,false,true,,false,true,9.0425,0.0,0.16,3.91,,,,QuantData stock-price-over-time
2026-08-18T09:34:00-04:00,COHR,regular,324.07,324.78,323.33,324.58,,,,,,,,350.69,324.07,,,327.95,323.26,false,false,,false,false,7.524,0.0,0.51,0.35,,,,QuantData stock-price-over-time
2026-08-18T09:35:00-04:00,COHR,regular,324.58,326.61,324.58,326.13,,,,,,,,350.69,324.07,,,327.95,323.26,false,false,,true,false,6.608333,0.0,1.55,1.04,,,,QuantData stock-price-over-time
2026-08-18T09:36:00-04:00,COHR,regular,326.13,326.13,322.54,322.99,,,,,,,,350.69,324.07,,,327.95,322.54,false,true,,false,true,6.177143,0.0,-3.14,-4.69,,,,QuantData stock-price-over-time
2026-08-18T09:37:00-04:00,COHR,regular,322.99,323.45,322.06,323.33,,,,,,,,350.69,324.07,,,327.95,322.06,false,true,,false,true,5.57875,0.0,0.34,3.48,,,,QuantData stock-price-over-time
2026-08-18T09:38:00-04:00,COHR,regular,323.33,325.92,323.33,325.21,,,,,,,,350.69,324.07,,,327.95,322.06,false,false,,true,false,5.246667,0.0,1.88,1.54,,,,QuantData stock-price-over-time
2026-08-18T09:39:00-04:00,COHR,regular,325.21,325.64,324.32,325.06,,,,,,,,350.69,324.07,,,327.95,322.06,false,false,,false,false,4.854,0.0,-0.15,-2.03,,,,QuantData stock-price-over-time
2026-08-18T09:40:00-04:00,COHR,regular,324.91,328.16,324.12,328.16,,,,,,,,350.69,324.07,,,328.16,322.06,true,false,,true,true,4.78,0.0,3.1,3.25,,,,QuantData stock-price-over-time
2026-08-18T09:41:00-04:00,COHR,regular,328.16,329.06,326.86,327.21,,,,,,,,350.69,324.07,,,329.06,322.06,true,false,,true,false,4.565,0.0,-0.95,-4.05,,,,QuantData stock-price-over-time
2026-08-18T09:42:00-04:00,COHR,regular,326.91,327.87,325.65,325.65,,,,,,,,350.69,324.07,,,329.06,322.06,false,false,,false,true,4.384615,0.0,-1.56,-0.61,,,,QuantData stock-price-over-time
2026-08-18T09:43:00-04:00,COHR,regular,325.7,326.25,324.49,324.49,,,,,,,,350.69,324.07,,,329.06,322.06,false,false,,false,true,4.197143,0.0,-1.16,0.4,,,,QuantData stock-price-over-time
2026-08-18T09:44:00-04:00,COHR,regular,325.09,325.17,323.5,323.5,,,,,,,,350.69,324.07,,,329.06,322.06,false,false,,false,true,2.415,0.0,-0.99,0.17,,,,QuantData stock-price-over-time
2026-08-18T09:45:00-04:00,COHR,regular,323.5,323.5,321.56,323.38,,,,,,,,350.69,324.07,,,329.06,321.56,false,true,,false,true,2.376429,0.0,-0.12,0.87,,,,QuantData stock-price-over-time
2026-08-18T09:46:00-04:00,COHR,regular,323.73,323.74,320.99,321.0,,,,,,,,350.69,324.07,,,329.06,320.99,false,true,,true,true,2.266429,0.0,-2.38,-2.26,,,,QuantData stock-price-over-time
2026-08-18T09:47:00-04:00,COHR,regular,321.0,321.96,320.47,320.47,,,,,,,,350.69,324.07,,,329.06,320.47,false,true,,false,true,2.174286,0.0,-0.53,1.85,,,,QuantData stock-price-over-time
2026-08-18T09:48:00-04:00,COHR,regular,320.47,320.65,319.81,320.08,,,,,,,,350.69,324.07,,,329.06,319.81,false,true,,false,true,2.130714,0.0,-0.39,0.14,,,,QuantData stock-price-over-time
2026-08-18T09:49:00-04:00,COHR,regular,320.08,320.2,319.12,319.46,,,,,,,,350.69,324.07,,,329.06,319.12,false,true,,false,true,2.062857,0.0,-0.62,-0.23,,,,QuantData stock-price-over-time
2026-08-18T09:50:00-04:00,COHR,regular,319.46,319.98,318.89,318.89,,,,,,,,350.69,324.07,,,329.06,318.89,false,true,,false,true,1.884286,0.0,-0.57,0.05,,,,QuantData stock-price-over-time
2026-08-18T09:51:00-04:00,COHR,regular,318.97,318.97,316.75,316.75,,,,,,,,350.69,324.07,,,329.06,316.75,false,true,,false,true,1.943571,0.0,-2.14,-1.57,,,,QuantData stock-price-over-time
2026-08-18T09:52:00-04:00,COHR,regular,317.12,317.3,316.77,316.77,,,,,,,,350.69,324.07,,,329.06,316.75,false,false,,false,false,1.797857,0.0,0.02,2.16,,,,QuantData stock-price-over-time
