timestamp,expiration,strike,call_put,gex,vanna_or_vex,charm,delta_exposure,gamma_gradient,vanna_gradient,charm_gradient,delta_change,net_gex,call_gex,put_gex,net_vanna,net_charm,net_delta_exposure,zero_gamma,gamma_flip,underlying_price,contract_multiplier,perspective,gex_unit,source
2026-08-21T12:47:00-04:00,2026-08-21,80.0,put,-74203.0,-4955.0,,-274033.0,,,,,73124555.0,113908224.0,-40783669.0,11496705.0,,4621868622.0,,,107.96,100.0,unknown,PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-21T12:47:00-04:00,2026-08-21,82.0,call,0.0,0.0,,0.0,,,,,73124555.0,113908224.0,-40783669.0,11496705.0,,4621868622.0,,,107.96,100.0,unknown,PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-21T12:47:00-04:00,2026-08-21,82.0,put,-7156.0,-456.0,,-25473.0,,,,,73124555.0,113908224.0,-40783669.0,11496705.0,,4621868622.0,,,107.96,100.0,unknown,PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-21T12:47:00-04:00,2026-08-21,83.0,call,0.0,0.0,,1008140.0,,,,,73124555.0,113908224.0,-40783669.0,11496705.0,,4621868622.0,,,107.96,100.0,unknown,PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-21T12:47:00-04:00,2026-08-21,83.0,put,-7246.0,-487.0,,-24543.0,,,,,73124555.0,113908224.0,-40783669.0,11496705.0,,4621868622.0,,,107.96,100.0,unknown,PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-21T12:47:00-04:00,2026-08-21,84.0,call,2287.0,-107.0,,431475.0,,,,,73124555.0,113908224.0,-40783669.0,11496705.0,,4621868622.0,,,107.96,100.0,unknown,PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-21T12:47:00-04:00,2026-08-21,84.0,put,-5862.0,-393.0,,-19044.0,,,,,73124555.0,113908224.0,-40783669.0,11496705.0,,4621868622.0,,,107.96,100.0,unknown,PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-21T12:47:00-04:00,2026-08-21,85.0,call,0.0,0.0,,26464347.0,,,,,73124555.0,113908224.0,-40783669.0,11496705.0,,4621868622.0,,,107.96,100.0,unknown,PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-21T12:47:00-04:00,2026-08-21,85.0,put,-72151.0,-4571.0,,-230356.0,,,,,73124555.0,113908224.0,-40783669.0,11496705.0,,4621868622.0,,,107.96,100.0,unknown,PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-21T12:47:00-04:00,2026-08-21,86.0,call,0.0,0.0,,1204224.0,,,,,73124555.0,113908224.0,-40783669.0,11496705.0,,4621868622.0,,,107.96,100.0,unknown,PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-21T12:47:00-04:00,2026-08-21,86.0,put,-8457.0,-524.0,,-25089.0,,,,,73124555.0,113908224.0,-40783669.0,11496705.0,,4621868622.0,,,107.96,100.0,unknown,PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
