timestamp,expiration,strike,call_put,gex,vanna_or_vex,charm,delta_exposure,gamma_gradient,vanna_gradient,charm_gradient,delta_change,net_gex,call_gex,put_gex,net_vanna,net_charm,net_delta_exposure,zero_gamma,gamma_flip,underlying_price,contract_multiplier,perspective,gex_unit,source
2026-08-19T16:00:00-04:00,2026-08-21,160.0,put,-5084.0,-2348.0,,-31634.0,,,,,-1378836.0,9334493.0,-10713329.0,1988673.0,,130333181.0,,,215.75,100.0,unknown,QuantData PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-19T16:00:00-04:00,2026-08-21,162.5,call,0.0,0.0,,0.0,,,,,-1378836.0,9334493.0,-10713329.0,1988673.0,,130333181.0,,,215.75,100.0,unknown,QuantData PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-19T16:00:00-04:00,2026-08-21,162.5,put,0.0,0.0,,0.0,,,,,-1378836.0,9334493.0,-10713329.0,1988673.0,,130333181.0,,,215.75,100.0,unknown,QuantData PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-19T16:00:00-04:00,2026-08-21,165.0,call,830.0,-184.0,,215430.0,,,,,-1378836.0,9334493.0,-10713329.0,1988673.0,,130333181.0,,,215.75,100.0,unknown,QuantData PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-19T16:00:00-04:00,2026-08-21,165.0,put,-5906.0,-2321.0,,-46714.0,,,,,-1378836.0,9334493.0,-10713329.0,1988673.0,,130333181.0,,,215.75,100.0,unknown,QuantData PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-19T16:00:00-04:00,2026-08-21,167.5,call,0.0,0.0,,0.0,,,,,-1378836.0,9334493.0,-10713329.0,1988673.0,,130333181.0,,,215.75,100.0,unknown,QuantData PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-19T16:00:00-04:00,2026-08-21,167.5,put,-4871.0,-1630.0,,-35568.0,,,,,-1378836.0,9334493.0,-10713329.0,1988673.0,,130333181.0,,,215.75,100.0,unknown,QuantData PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-19T16:00:00-04:00,2026-08-21,170.0,call,0.0,0.0,,796936.0,,,,,-1378836.0,9334493.0,-10713329.0,1988673.0,,130333181.0,,,215.75,100.0,unknown,QuantData PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-19T16:00:00-04:00,2026-08-21,170.0,put,-10663.0,-3930.0,,-73814.0,,,,,-1378836.0,9334493.0,-10713329.0,1988673.0,,130333181.0,,,215.75,100.0,unknown,QuantData PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-19T16:00:00-04:00,2026-08-21,172.5,call,0.0,0.0,,0.0,,,,,-1378836.0,9334493.0,-10713329.0,1988673.0,,130333181.0,,,215.75,100.0,unknown,QuantData PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-19T16:00:00-04:00,2026-08-21,172.5,put,-1011.0,-373.0,,-6400.0,,,,,-1378836.0,9334493.0,-10713329.0,1988673.0,,130333181.0,,,215.75,100.0,unknown,QuantData PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-19T16:00:00-04:00,2026-08-21,175.0,call,2445.0,-639.0,,535490.0,,,,,-1378836.0,9334493.0,-10713329.0,1988673.0,,130333181.0,,,215.75,100.0,unknown,QuantData PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-19T16:00:00-04:00,2026-08-21,175.0,put,-24246.0,-8508.0,,-166561.0,,,,,-1378836.0,9334493.0,-10713329.0,1988673.0,,130333181.0,,,215.75,100.0,unknown,QuantData PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
2026-08-19T16:00:00-04:00,2026-08-21,177.5,call,0.0,0.0,,0.0,,,,,-1378836.0,9334493.0,-10713329.0,1988673.0,,130333181.0,,,215.75,100.0,unknown,QuantData PER_ONE_DOLLAR_MOVE; exact dollar/contract scaling unverified,QuantData
